City,Country,Latitude,Longitude,Max Temp F,Current Temp F,Humitidy %,Cloudiness %,Wind Speed
Abancay,PE,-13.64,-72.88,41.37,41.37,100,64,1.57
Abbeville,FR,50.11,1.83,44.6,43.09,75,0,17.22
Aberdeen,US,45.47,-98.49,27,24.96,79,90,11.41
Abha,SA,18.22,42.5,69.8,69.8,37,0,20.8
Abong Mbang,CM,3.98,13.18,67.83,67.83,95,92,2.57
Aborlan,PH,9.44,118.55,82.41,82.41,94,0,17.78
Aboso,GH,5.36,-1.95,75.39,75.39,92,48,4.47
Abu Dhabi,AE,24.47,54.37,80.6,80.6,57,92,18.34
Abu Kamal,SY,34.45,40.92,49.83,49.83,99,0,15.99
Abu Samrah,SY,35.3,37.18,47.76,47.76,85,68,7.16
Abu Zabad,SD,12.35,29.25,77.01,77.01,19,0,9.4
Acajutla,SV,13.59,-89.83,66.99,66.99,67,0,4.03
Acapulco,MX,16.86,-99.88,75.2,75.2,83,5,4.59
Acari,BR,-6.44,-36.64,67.29,67.29,96,48,2.57
Acurenam,GA,1.03,10.67,71.16,71.16,95,92,2.46
Adrar,DZ,27.87,-0.29,60.8,60.8,31,40,16.11
Agadez,NE,16.97,7.99,74.76,74.76,15,68,15.1
Ahipara,NZ,-35.17,173.16,67.56,67.56,91,64,11.63
Ahuimanu,US,21.44,-157.84,77,74.79,75,20,14.99
Airai,TL,-8.93,125.41,78.18,78.18,79,44,1.9
Ajdabiya,LY,30.75,20.22,51.09,51.09,83,0,3.58
Aketi,CD,2.74,23.78,76.56,76.56,92,88,1.68
Aklavik,CA,68.22,-135.01,24.8,24.8,62,75,5.82
Aksarka,RU,66.56,67.8,27.15,27.15,90,24,15.1
Aksha,RU,50.28,113.29,29.13,29.13,24,12,7.38
Aksu,KZ,52.04,76.93,37.4,37.4,93,75,2.24
Alakurtti,RU,66.96,30.34,28,28,85,88,8.99
Alamogordo,US,32.9,-105.96,53.6,42.82,23,1,3.36
Alamor,EC,-4.02,-80.02,65.85,65.85,99,100,1.68
Albany,US,42.65,-73.75,41,34.18,59,20,6.15
Alegrete,BR,-29.79,-55.79,56.31,56.31,68,0,9.17
Alekseyevka,RU,53.25,50.49,32,32,97,90,22.37
Alexandria,US,31.31,-92.44,66.2,65.21,93,90,6.93
Aliaga,PH,15.5,120.85,91.32,91.32,52,0,7.05
Alice Springs,AU,-23.7,133.88,77,77,69,100,19.46
Almansa,ES,38.87,-1.1,48.99,40.08,92,0,2.35
Almeirim,PT,39.21,-8.63,57.99,51.06,87,0,5.82
Alofi,NU,-19.06,-169.92,77,77,73,24,6.93
Along,IN,28.17,94.8,72.33,72.33,53,8,1.9
Alta Floresta,BR,-9.87,-56.08,74.13,74.13,97,20,2.01
Altagracia De Orituco,VE,9.86,-66.38,69.63,69.63,82,8,11.07
Altamont,CA,49.4,-98.5,21.2,19.65,67,1,6.93
Altay,CN,47.83,88.13,35.16,35.16,73,8,2.68
Alto Araguaia,BR,-17.32,-53.22,73.86,73.86,79,8,8.39
Alyangula,AU,-13.85,136.42,89.6,89.6,62,36,3.36
Alzamay,RU,55.55,98.67,30.03,30.03,64,80,6.15
Amahai,ID,-3.31,129,85.29,85.29,100,20,4.7
Amapa,HN,15.09,-87.97,71.6,71.6,73,20,5.82
Amazar,RU,53.86,120.88,17.61,17.61,40,68,7.49
Ambato,EC,-1.24,-78.63,46,46,98,76,2.13
Ambilobe,MG,-13.19,49.05,79.71,79.71,99,24,3.36
Ambon,FR,47.55,-2.56,43,39.34,93,0,12.75
Amga,RU,60.89,131.98,17.16,17.16,57,64,7.16
Anadyr,RU,64.73,177.51,17.6,17.28,92,75,2.24
Anchorage,US,61.22,-149.89,44.6,40.55,81,1,4.7
Ancud,CL,-41.87,-73.83,48.2,48.2,87,0,11.41
Andalan,PH,5.96,121.39,80.43,80.43,100,76,2.35
Anloga,GH,5.79,0.9,82.4,82.4,83,20,12.75
Annau,TM,37.89,58.52,64.4,64.4,72,90,6.93
Anrochte,DE,51.57,8.33,41,39.11,93,40,8.05
Antalaha,MG,-14.9,50.28,84.21,84.21,85,12,7.49
Antalya,TR,36.9,30.69,55.4,55.15,24,0,17.22
Antsohihy,MG,-14.88,47.99,81.78,81.78,93,8,3.02
Anzio,IT,41.45,12.63,57.99,49.17,86,20,6.38
Araceli,PH,10.55,119.99,81.51,81.51,97,0,16.11
Araouane,ML,18.9,-3.53,83.31,83.31,30,100,5.48
Arcata,US,40.87,-124.08,55.4,52.14,87,90,6.93
Aripuana,BR,-9.17,-60.63,75.48,75.48,95,12,1.57
Arraial Do Cabo,BR,-22.97,-42.02,76.29,76.29,98,8,6.71
Arroyo,US,41.39,-78.88,44.6,40.91,75,90,5.14
Arthur,US,41.57,-101.69,44.6,43.68,81,90,6.93
Artyom,RU,43.36,132.19,53.6,53.6,25,88,6.71
Asmara,ER,15.34,38.93,89.61,89.61,12,0,3.58
Asosa,ET,10.07,34.53,87.99,87.99,32,0,3.13
Assiniboia,CA,49.63,-105.99,27.69,27.69,94,92,7.05
Aswan,EG,24.09,32.9,68.37,68.37,39,76,6.15
Asyut,EG,27.18,31.19,58.11,58.11,49,0,10.96
Atambua,ID,-9.11,124.89,84.21,84.21,93,32,6.04
Atar,MR,20.52,-13.05,50.1,50.1,67,0,2.46
Athabasca,CA,54.72,-113.29,26.7,26.7,89,48,8.72
Atherton,GB,53.52,-2.49,44.6,39.97,86,0,3.36
Atuona,PF,-9.8,-139.03,82.41,82.41,99,76,16.11
Auki,NG,12.18,6.51,67.65,67.65,28,20,8.72
Austin,US,30.27,-97.74,70,68.43,88,90,12.64
Avarua,CK,-21.21,-159.78,82.4,82.4,88,76,6.93
Avera,US,33.19,-82.53,61,57.54,93,1,5.82
Avezzano,IT,42.03,13.43,57.99,48.2,93,0,2.24
Avila,US,38.91,-76.61,52,47.88,71,1,5.14
Awbari,LY,26.59,12.77,44.25,44.25,81,0,4.36
Axim,GH,4.87,-2.24,83.13,83.13,96,68,14.54
Ayagoz,KZ,47.96,80.43,36.51,36.51,100,8,4.59
Ayan,TR,40.67,33.6,27.42,27.42,58,0,1.68
Ayr,GB,55.46,-4.63,42.01,38.35,80,0,6.93
Azoyu,MX,16.72,-98.73,66.48,66.48,99,0,2.13
Babylon,US,40.7,-73.33,54,47.75,61,90,3.36
Badulla,LK,6.99,81.06,86.28,86.28,39,0,3.69
Bafoulabe,ML,13.81,-10.83,71.07,71.07,91,64,4.92
Baft,IR,29.23,56.61,49.56,49.56,78,92,8.95
Baherden,TM,38.44,57.43,68.46,68.46,77,20,4.36
Baiyin,CN,36.55,104.13,53.6,53.6,13,0,6.71
Bajil,ES,38.23,-2.07,35.61,35.61,81,0,3.02
Bakchar,RU,57.02,82.07,35.79,35.79,86,20,3.58
Balabac,PH,7.99,117.06,83.22,83.22,95,0,14.65
Balkanabat,TM,39.51,54.36,56.76,56.76,74,80,2.46
Ballina,IE,54.11,-9.15,46,42.55,100,75,6.93
Ballinrobe,IE,53.62,-9.22,46.99,43.43,100,75,6.93
Bambanglipuro,ID,-7.95,110.28,81.51,81.51,94,88,4.47
Bambous Virieux,MU,-20.34,57.76,84.2,83.52,74,75,12.75
Bambui,CM,6.01,10.23,63.15,63.15,97,88,3.02
Banda Aceh,ID,5.56,95.32,85.65,85.65,76,36,4.03
Bandarbeyla,SO,9.49,50.81,78.45,78.45,100,56,3.69
Bangassou,CF,4.74,22.82,76.11,76.11,88,92,3.02
Banjar,ID,-7.37,108.54,82.23,82.23,98,36,2.46
Baoro,CF,5.69,15.95,66.03,66.03,99,92,8.16
Bara,NG,10.41,10.6,70.98,70.98,76,0,2.91
Baraboo,US,43.47,-89.74,33.01,29.82,63,1,9.17
Barcelos,PT,41.53,-8.62,62.01,54.45,44,0,10.29
Barra Da Estiva,BR,-13.63,-41.33,67.56,67.56,96,100,0.56
Barra Do Corda,BR,-5.5,-45.25,71.97,71.97,98,92,6.04
Barra Do Garcas,BR,-15.89,-52.26,70.26,70.26,98,92,4.14
Barrow,AR,-38.31,-60.23,52.98,52.98,80,20,9.95
Barsovo,RU,61.17,73.17,39.2,39.2,51,0,8.95
Baruun-Urt,MN,46.68,113.28,42.81,42.81,32,36,14.09
Basco,US,40.33,-91.2,48,45.27,93,90,10.29
Bassano,CA,50.79,-112.47,30.99,30.45,92,80,3
Basse-Pointe,MQ,14.87,-61.12,77,77,78,90,6.93
Batagay,RU,67.65,134.64,9.06,9.06,62,8,4.36
Batagay-Alyta,RU,67.8,130.41,7.08,7.08,70,0,4.03
Batemans Bay,AU,-35.71,150.18,75,65.97,69,0,4
Bathsheba,BB,13.22,-59.52,77,77,83,75,23.04
Bathurst,AU,-33.42,149.58,64.99,63.63,98,92,10
Batsfjord,NO,70.63,29.72,30.2,25.52,73,75,13.87
Batticaloa,LK,7.71,81.69,87.99,87.99,80,0,8.5
Bay City,US,43.59,-83.89,33.8,31.42,80,90,11.41
Bayan,MN,47.25,107.54,43.17,43.17,23,0,15.99
Bedele,ET,8.46,36.35,71.61,71.61,56,76,2.68
Beinamar,TD,8.67,15.38,82.77,82.77,46,20,3.91
Belaya Gora,RU,68.54,146.19,2.4,2.4,86,56,5.93
Belem De Sao Francisco,BR,-8.75,-38.97,70.35,70.35,98,92,3.47
Belmonte,PT,40.36,-7.35,50,50,66,0,8.99
Beloha,MG,-25.17,45.06,82.59,82.59,64,8,11.63
Belz,UA,50.38,24.01,37.4,37.4,93,75,4.59
Bemidji,US,47.48,-94.89,26.6,22.51,57,1,4.59
Benguela,AO,-12.58,13.4,78.45,78.45,100,68,1.68
Beni,CD,0.49,29.47,72.15,72.15,88,36,4.03
Beni Suef,EG,29.07,31.1,54.96,54.96,60,0,7.49
Berdigestyakh,RU,62.1,126.7,12.48,12.48,53,68,8.61
Berea,US,41.37,-81.85,44.6,41.38,75,90,9.17
Bereznik,RU,62.86,42.71,31.83,31.83,89,88,4.59
Beringovskiy,RU,63.05,179.32,32.19,32.19,97,88,11.07
Berlevag,NO,70.86,29.09,30.2,26.65,73,75,13.87
Bernal,AR,-34.72,-58.3,55.4,52.57,76,0,4.7
Beruwala,LK,6.48,79.98,84.21,84.21,97,0,3.13
Besenyszog,HU,47.3,20.27,52,50.65,62,0,11.41
Betare Oya,CM,5.6,14.08,67.11,67.11,95,92,3.69
Bethel,US,60.79,-161.76,35.6,35.13,93,90,8.05
Betong,MY,5.77,101.07,82.14,82.14,90,32,3.58
Bexhill,GB,50.84,0.47,44.01,41.83,80,44,13.87
Bezhanitsy,RU,56.97,29.88,31.2,31.2,62,24,12.97
Bhongir,IN,17.52,78.89,96.8,95.23,41,0,3.36
Biankouma,CI,7.74,-7.61,70.26,70.26,89,44,5.7
Biled,RO,45.89,20.96,50,47.35,61,0,8.05
Bilibino,RU,68.06,166.44,4.83,4.83,56,44,6.93
Bilma,NE,18.69,12.92,68.28,68.28,19,24,14.76
Biltine,TD,14.53,20.93,76.11,76.11,22,20,14.76
Bima,ID,-8.45,118.73,83.04,83.04,82,80,5.37
Binga,ZW,-17.62,27.34,78.9,78.9,78,8,5.37
Birao,CF,10.3,22.78,91.41,91.41,25,92,13.42
Birobidzhan,RU,48.79,132.93,38.67,38.67,52,36,5.93
Bisira,PA,8.52,-81.71,68.46,68.46,86,0,3.91
Biskupiec,PL,53.87,20.96,30.39,30.39,81,24,8.95
Blind River,CA,46.19,-82.96,21.2,21.2,73,1,7.61
Bloomingdale,US,41.96,-88.08,36,34.43,86,90,13.87
Bluefield,US,37.27,-81.22,53.6,45.21,34,1,5.82
Bluff,AU,-23.58,149.07,92.04,92.04,42,20,4.59
Boca Do Acre,BR,-8.76,-67.39,76.47,76.47,94,64,1.9
Boden,SE,65.83,21.69,28.4,28.4,74,0,11.41
Boguchany,RU,58.38,97.46,27.6,27.6,40,32,5.03
Bolshaya Martynovka,RU,47.27,41.67,37.77,37.77,88,8,8.5
Bolu,TR,40.73,31.61,26.88,26.88,66,0,2.35
Bonavista,CA,48.65,-53.11,30,30,81,68,13
Bone,ID,-10.32,123.57,89.6,89.6,59,40,11.41
Bonfim,GY,3.36,-59.84,81.06,81.06,61,0,14.09
Bonthe,SL,7.53,-12.5,78,78,95,24,3.02
Borgarnes,IS,64.54,-21.92,39.99,37.08,94,90,21.92
Borogontsy,RU,62.67,131.17,15.27,15.27,58,36,7.61
Botro,CI,7.85,-5.31,78,78,72,48,9.73
Bouza,NE,14.42,6.04,73.59,73.59,21,8,12.97
Bowen,AU,-20.01,148.25,86,85.5,70,80,12.75
Boyabat,TR,41.47,34.77,42.8,42.8,75,20,2.24
Boyolangu,ID,-8.09,111.9,80.25,80.25,88,48,5.14
Boysun,UZ,38.2,67.2,37.5,37.5,90,92,1.45
Bozeman,US,45.68,-111.04,36,34.86,100,90,4.7
Brae,GB,60.4,-1.35,42.8,42.8,81,64,11.41
Bredasdorp,ZA,-34.53,20.04,64.4,62.98,88,64,12.75
Brigantine,US,39.41,-74.36,48,45.82,61,20,10.4
Broken Hill,AU,-31.97,141.45,71.6,71.6,37,48,14.99
Broome,GB,52.47,1.45,42.01,39.78,75,20,10.29
Buala,SB,-8.15,159.59,82.23,82.23,94,68,3.91
Bubaque,GW,11.28,-15.83,76.02,76.02,100,76,12.41
Buchanan,LR,5.88,-10.05,82.32,82.32,92,48,5.93
Buenos Aires,AR,-34.61,-58.44,55.4,52.56,76,0,4.7
Buford,US,32.46,-100.86,60.8,56.7,62,1,9.17
Buin,CL,-33.73,-70.74,70,63.99,62,0,3.36
Bukama,CD,-9.2,25.85,71.25,71.25,99,32,4.14
Bulgan,MN,48.81,103.53,47.67,47.67,30,8,8.61
Buluang,PH,10.47,123.98,82.77,82.77,87,8,10.74
Bumba,CD,2.18,22.47,76.11,76.11,91,12,3.91
Buraydah,SA,26.33,43.97,68,68,56,75,12.75
Burnie,AU,-41.05,145.91,57,52.75,71,48,13
Burns Lake,CA,54.23,-125.76,29.31,29.31,88,76,2.57
Bushehr,IR,28.97,50.84,78.8,74.64,44,90,21.92
Busselton,AU,-33.64,115.35,79,76.64,22,0,12.75
Buta,CD,2.79,24.73,73.77,73.77,90,68,2.91
Butaritari,KI,3.07,172.79,79.26,79.26,100,68,6.15
Buxar,IN,25.57,83.97,88.62,88.62,47,0,8.39
Byron Bay,AU,-28.65,153.62,91.4,85.03,69,0,14.99
Cabedelo,BR,-6.97,-34.84,75.2,75.2,94,40,3.36
Cabinda,AO,-5.56,12.19,80.6,80.6,88,75,6.38
Cabo San Lucas,MX,22.89,-109.91,70,65.23,34,5,5.82
Caborca,MX,30.58,-111.1,62.01,58.84,56,36,2.68
Caceres,CO,5.53,-74.53,65.31,65.31,96,24,0.89
Caicedo,CO,6.41,-75.98,59,55.65,82,75,3.36
Cairns,AU,-16.92,145.77,84.2,83.71,74,88,8.05
Calabozo,VE,8.92,-67.43,75.3,75.3,57,0,13.98
Cam Ranh,VN,11.92,109.15,89.6,89.6,59,20,16.11
Camacha,PT,33.08,-16.33,62.6,61.84,82,40,21.92
Camapua,BR,-19.53,-54.04,69.63,69.63,70,20,5.37
Cambrai,FR,50.18,3.24,44.01,42.37,75,20,14.99
Cameron Park,US,38.68,-120.99,52,46.22,66,1,7.94
Camocim,BR,-2.9,-40.84,75.03,75.03,98,92,1.9
Campbell River,CA,50.02,-125.24,42.8,41.34,87,5,2.24
Campo Maior,ES,39.01,-7.07,46,43.3,93,0,2.24
Campobasso,IT,41.56,14.66,62.01,53.31,91,36,1.34
Can,IT,46.08,11.97,54,46.6,100,5,8.05
Canals,ES,38.96,-0.58,55.99,49.32,72,0,4.7
Cananea,MX,30.98,-110.3,55,51.33,30,1,3.36
Candelaria,CO,3.41,-76.35,66.2,66.2,93,40,4.7
Caorle,IT,45.6,12.88,55.99,49.26,87,5,3.36
Cap Malheureux,MU,-19.98,57.61,84.2,83.62,74,75,12.75
Cap-Haitien,HT,19.76,-72.2,75.48,75.48,95,36,11.52
Cape Canaveral,US,28.41,-80.6,68,62.08,93,1,4.7
Cape Town,ZA,-33.93,18.42,66,63.95,93,75,21.92
Caramay,PH,10.18,119.24,83.04,83.04,90,0,14.65
Carauari,BR,-4.88,-66.9,76.2,76.2,96,24,2.46
Caravelas,BR,-17.73,-39.27,81.96,81.96,100,48,14.54
Cardston,CA,49.2,-113.32,32,31.03,100,90,2.24
Carmen,PH,7.2,124.8,97.53,97.53,31,0,5.03
Carnarvon,ZA,-30.97,22.13,57.12,57.12,49,0,9.17
Caronport,CA,50.46,-105.81,23,23,87,44,6.49
Carutapera,BR,-1.2,-46.02,77.46,77.46,96,92,5.37
Casas Grandes,MX,30.15,-110.24,51.36,51.36,62,24,1.9
Cascais,PT,38.7,-9.42,57.99,54.03,87,0,5.82
Cassilandia,BR,-19.11,-51.73,68.28,68.28,92,0,3.36
Castro,CL,-42.48,-73.76,48.2,48.2,87,0,11.41
Caucaia,BR,-3.73,-38.66,75.2,75.06,100,75,3.36
Causapscal,CA,48.35,-67.23,19.99,17.04,54,44,6.6
Cayenne,GF,4.94,-52.33,78.8,78.8,74,90,10.29
Celestun,MX,20.87,-90.4,75.3,75.3,100,0,17.45
Centralia,US,39.21,-92.14,53.6,50.72,76,90,13.87
Chabahar,IR,25.29,60.65,76.65,76.65,84,0,11.07
Chake Chake,TZ,-5.25,39.77,82.05,82.05,100,64,1.68
Chama,ZM,-11.22,33.16,70.35,70.35,98,0,4.92
Champerico,MX,16.38,-93.6,67.56,67.56,67,0,1.68
Changji,CN,32.07,116.17,68.46,68.46,61,0,5.14
Chapais,CA,49.78,-74.86,1.4,1.4,59,90,9.17
Chara,GR,39.42,22.43,51.01,46.17,86,0,2.13
Charleston,US,38.35,-81.63,53.6,49.44,46,75,3.36
Charlestown,US,41.38,-71.64,46.99,43.86,65,1,10.29
Charters Towers,AU,-20.07,146.27,83.13,83.13,72,80,10.07
Chase,US,43.89,-85.64,32,28.69,74,1,8.05
Chatra,IN,24.21,84.87,89.6,89.6,31,0,9.17
Chatrapur,IN,19.35,84.98,84.48,84.48,94,0,1.57
Chengde,CN,40.97,117.93,58.2,58.2,21,0,7.94
Chernyshevsk,RU,52.51,117.01,19.41,19.41,28,56,6.15
Chernyshevskiy,RU,63.01,112.47,14.91,14.91,63,12,5.03
Cherskiy,RU,68.75,161.3,0.24,0.24,52,0,8.5
Chicama,PE,-7.84,-79.15,67.2,67.2,93,8,2.35
Chico,US,39.73,-121.84,51.8,49.51,66,1,4.47
Chigasaki,JP,35.33,139.41,63,58.96,47,75,8.05
Chihuahua,MX,28.66,-106.08,62.01,60.49,21,0,4.59
Chimbote,PE,-9.08,-78.59,67.29,67.29,93,12,3.91
Chimore,BO,-16.98,-65.13,71.16,71.16,94,92,2.68
Chingirlau,KZ,51.09,54.08,32.91,32.91,98,92,14.43
Chipinge,ZW,-20.19,32.62,69.9,69.9,91,0,3.91
Chitral,PK,35.85,71.79,19.32,19.32,81,0,0.45
Chivilcoy,AR,-34.9,-60.02,53.16,53.16,79,0,8.05
Chokurdakh,RU,70.62,147.9,-2.83,-2.83,74,12,5.7
Choma,ZM,-16.81,26.98,69.18,69.18,72,0,8.5
Christchurch,NZ,-43.53,172.64,75,72.7,53,20,12.75
Chumikan,RU,54.72,135.31,26.61,26.61,52,20,1.9
Chumphon,TH,10.5,99.18,87.8,87.8,70,75,8.05
Chuncheng,CN,22.17,111.79,72,71.53,63,48,3.02
Chuy,UY,-33.69,-53.46,62.43,62.43,88,88,15.99
Cidreira,BR,-30.17,-50.22,66.93,66.93,81,36,9.4
Cintalapa,MX,16.7,-93.73,64.68,64.68,60,0,4.36
Ciudad Bolivar,VE,8.12,-63.55,78.81,78.81,57,0,14.2
Clemson,US,34.69,-82.84,59,51.35,87,40,3.69
Clinton,US,30.87,-91.02,64.4,59.29,82,1,8.05
Clyde River,CA,70.47,-68.59,-11.21,-11.21,83,90,33.33
Coahuayana,MX,18.62,-100.35,58.2,58.2,62,0,1.9
Coari,BR,-4.09,-63.14,75.75,75.75,97,44,2.68
Cockburn Town,TC,21.46,-71.14,75.48,75.48,100,48,16.44
Codrington,AU,-28.95,153.24,91.4,86.86,62,0,11.41
Cody,US,44.53,-109.06,42.01,38.37,86,90,8.05
Coihaique,CL,-45.58,-72.07,39.2,36.19,93,0,2.24
Colares,PT,38.8,-9.45,57.99,53.89,87,0,5.82
Colesberg,ZA,-30.72,25.1,59.55,59.55,84,0,3.47
College,US,64.86,-147.8,41,38.12,52,90,6.93
Collie,AU,-33.36,116.15,75.99,75.43,22,0,13.53
Comodoro Rivadavia,AR,-45.87,-67.48,57.2,57.2,67,0,5.82
Conceicao Do Araguaia,BR,-8.26,-49.26,73.23,73.23,96,68,2.91
Conde,BR,-11.81,-37.61,73.95,73.95,100,92,4.59
Constitucion,MX,23.99,-104.67,47.85,47.85,49,0,6.04
Copiapo,CL,-27.37,-70.33,59,59,82,0,2.24
Coquimbo,CL,-29.95,-71.34,57.2,57.2,87,90,2.13
Cordoba,CO,5.59,-73.79,46.32,46.32,87,12,2.13
Coria,ES,39.98,-6.54,44.01,44.01,79,0,5.03
Coron,FR,47.13,-0.65,39.99,36.46,92,0,3.36
Correntina,BR,-13.34,-44.63,68.55,68.55,97,92,4.92
Cortez,US,37.35,-108.58,34,29.21,69,1,5.82
Corum,TR,38.8,29.89,37.4,34.95,47,0,6.93
Cotonou,BJ,6.37,2.43,82.4,82.4,78,20,4.7
Culaman,PH,5.96,125.66,88.8,88.8,50,36,1.9
Cururupu,BR,-1.82,-44.87,77.1,77.1,94,88,4.14
Dabat,ET,12.98,37.77,75.93,75.93,18,8,1.68
Dakar,SN,14.69,-17.45,66.2,65.23,82,20,4.7
Dali,CN,25.6,100.24,68.19,68.19,43,0,2.35
Danane,CI,7.26,-8.15,69.54,69.54,94,44,2.68
Dandong,CN,40.12,124.37,57.93,57.93,45,0,5.59
Darab,IR,28.75,54.55,51.81,51.81,92,92,2.35
Darlawn,IN,24.02,92.93,84.12,84.12,37,0,2.01
Daru,SL,7.99,-10.85,73.5,73.5,84,56,3.13
Daugai,LT,54.36,24.35,37.4,34.47,85,90,8.05
Daura,NG,13.04,8.32,74.13,74.13,19,8,12.64
Dauriya,RU,49.93,116.85,24.18,24.18,20,0,20.69
Dawei,MM,14.07,98.19,88.17,88.17,81,44,2.57
Deblin,PL,51.56,21.85,44.01,40.05,73,0,1.12
Deep River,CA,46.1,-77.49,18,16.97,52,1,5.82
Denpasar,ID,-8.65,115.22,86,86,79,20,9.17
Deputatskiy,RU,69.3,139.9,5.46,5.46,78,8,3.91
Dhidhdhoo,MV,6.88,73.1,84.66,84.66,100,0,9.4
Diamantino,BR,-14.4,-56.44,71.07,71.07,87,12,3.47
Diapaga,BF,12.07,1.79,69.18,69.18,36,12,5.7
Dickinson,US,46.88,-102.79,32,28.87,92,90,8.05
Dikson,RU,73.51,80.55,29.85,29.85,94,64,32.1
Dingle,PH,11,122.67,89.97,89.97,40,0,14.09
Dinguiraye,GN,11.29,-10.71,68.01,68.01,94,44,1.12
Djibo,BF,14.1,-1.63,75.93,75.93,32,76,6.6
Dolores,AR,-36.31,-57.68,56.31,56.31,76,20,15.55
Dondo,MZ,-19.62,34.74,78.8,78.8,94,40,5.82
Dong Xoai,VN,11.53,106.92,89.34,89.34,65,0,3.69
Dongsheng,CN,29.72,112.52,67.56,67.56,72,0,8.39
Dormidontovka,RU,47.77,134.91,39.48,39.48,54,8,3.69
Dudinka,RU,69.41,86.18,24.18,24.18,94,88,21.03
Dukat,RS,42.44,22.31,48,48,49,0,1.68
Dulce Nombre De Culmi,HN,15.08,-85.56,71.6,71.6,88,40,2.24
Dunda,IN,30.62,78.32,66.2,66.2,68,90,9.17
Dunedin,NZ,-45.87,170.5,66,66,76,76,8.99
Dwarka,IN,28.58,77.04,84,80.33,44,20,8.05
East London,ZA,-33.02,27.91,73.4,73.4,78,20,17.22
Edd,ER,13.93,41.69,87.63,87.63,32,8,3.91
Eden,CA,50.38,-99.47,10.4,10.4,78,20,8.05
Edmonton,CA,53.54,-113.51,32,31.93,87,90,6.93
Egvekinot,RU,66.32,-179.17,7.98,7.98,83,44,2.68
Eirunepe,BR,-6.66,-69.87,75.93,75.93,95,64,2.35
El Alto,BO,-16.5,-68.19,42.8,42.8,81,75,2.24
El Tigre,VE,8.89,-64.25,75.84,75.84,62,0,15.21
Elko,US,40.83,-115.76,34,31.68,74,1,5.82
Emba,CY,34.81,32.42,57.2,55.15,44,20,8.05
Emerald,AU,-23.53,148.16,93.2,92.55,36,24,8.05
Emmen,NL,52.79,6.89,42.01,40.05,93,40,6.93
Enterprise,US,31.32,-85.86,57.2,52.59,93,1,3.69
Erdenet,MN,49.03,104.04,46.23,46.23,30,12,7.94
Erenhot,CN,43.65,111.97,50.01,50.01,37,0,6.93
Erzin,TR,36.95,36.2,55,52.09,57,75,4.7
