City,Country,Latitude,Longitude,Max Temp F,Current Temp F,Humitidy %,Cloudiness %,Wind Speed
Escanaba,US,45.75,-87.06,21.99,18.97,73,1,6.93
Esperance,TT,10.24,-61.45,73.4,72.77,83,20,3.36
Esso,RU,55.93,158.7,8.61,8.61,74,80,4.47
Estacion Coahuila,MX,32.19,-115,66.2,63.21,36,1,4.7
Eston,CA,51.15,-108.75,26.6,25.18,86,20,3.36
Eureka,US,40.8,-124.16,55.4,51.91,87,90,6.93
Evensk,RU,61.92,159.24,26.79,26.79,93,88,14.76
Eyl,SO,7.98,49.82,80.16,80.16,93,92,8.61
Faanui,PF,-16.48,-151.75,85.38,85.38,97,48,12.53
Fairbanks,US,64.84,-147.72,41,37.56,52,90,6.93
Fairmont,US,40.64,-97.59,46.4,44.87,93,90,9.17
Falakata,IN,26.52,89.2,90.51,90.51,37,0,9.95
Falcoiu,RO,44.23,24.37,46,44.33,69,0,2.24
Fare,PF,-16.7,-151.02,84.3,84.3,97,12,10.18
Faya,SA,18.39,42.45,69.8,69.8,37,0,20.8
Ferme-Neuve,CA,46.7,-75.45,8.43,8.43,64,0,6.49
Flers,FR,48.75,-0.57,44.6,41.11,87,90,6.93
Flin Flon,CA,54.77,-101.88,10.32,10.32,72,0,2.35
Flinders,AU,-34.58,150.85,79,76.75,60,75,21.92
Floro,NO,61.6,5.03,39.99,35.71,80,0,8.05
Forbesganj,IN,26.3,87.26,92.13,92.13,31,0,9.51
Formello,IT,42.08,12.4,57.99,48.34,100,0,3.36
Formosa,AR,-26.19,-58.17,68,68,94,0,2.24
Fort Nelson,CA,58.81,-122.69,33.8,33.8,74,40,3.36
Fort Saint James,CA,54.43,-124.25,30.75,30.75,86,32,2.01
Fortuna,ES,38.18,-1.13,52,45.72,66,0,2.24
Fray Bentos,AR,-33.12,-58.31,56.31,56.31,90,8,8.05
Freeport,BS,26.54,-78.7,74.4,74.4,98,80,13.76
Front Royal,US,38.92,-78.19,52,48,50,90,5.03
Frunzivka,UA,47.33,29.75,42.27,42.27,77,8,3.13
Fuerte Olimpo,BR,-21.04,-57.87,74.94,74.94,72,0,5.14
Fukue,JP,35.03,136.69,63,57,47,75,3.36
Fukuma,JP,33.77,130.47,55.4,53.62,58,75,8.05
Furukawa,JP,38.57,140.96,59,57.18,28,40,16.11
Galesong,ID,-5.32,119.37,86,86,79,40,6.93
Gambela,ET,8.25,34.59,75.12,75.12,63,80,3.47
Gamboma,CG,-1.87,15.88,72.33,72.33,95,48,9.06
Ganganagar,IN,16.78,77.13,96.81,96.81,30,0,8.05
Gangapur,IN,19.7,75.01,96.8,96.8,22,0,6.93
Garca,BR,-22.21,-49.66,71.6,69.1,83,0,9.17
Gariaband,IN,20.63,82.06,94.83,94.83,26,0,4.14
Garowe,SO,8.41,48.48,73.05,73.05,78,32,4.7
Gasa,BT,27.91,89.73,22.83,22.83,88,0,0.89
Gashua,NG,12.87,11.04,73.23,73.23,19,24,10.18
Gat,SN,14.69,-16.54,64.4,64.4,82,0,8.05
Gayeri,BF,12.65,0.49,72.06,72.06,55,80,2.68
Gazanjyk,TM,39.24,55.52,54.15,54.15,90,56,5.48
General Pico,AR,-35.66,-63.75,50.64,50.64,73,24,8.16
George,NG,6.63,3.35,78.8,78.8,94,40,10.51
Georgetown,GY,6.8,-58.16,71.6,71.6,94,0,4.7
Georgiyevka,RU,52.25,40.45,28.32,28.32,93,0,10.18
Geraldton,CA,49.72,-86.95,15.8,15.8,31,5,5.82
Gien,FR,47.69,2.63,34,32.36,89,0,4.14
Gigmoto,PH,13.78,124.39,81.78,81.78,90,8,10.96
Ginda,IN,30.69,78.49,66.2,66.2,68,90,9.17
Gizo,IL,31.8,34.94,55.4,52.84,71,40,16.11
Gjirokaster,AL,40.08,20.14,59,54.48,93,20,1.45
Glens Falls,US,43.31,-73.64,39,33.89,69,90,5.82
Gobabis,NA,-22.45,18.97,65.58,65.58,83,48,5.48
Goderich,CA,43.74,-81.71,30.99,27.43,72,8,3
Golden,CA,51.3,-116.96,24.01,24.01,84,76,1.68
Gombe,NG,10.28,11.17,73.05,73.05,69,8,4.59
Gorele,TR,41.03,39,45,44.83,56,75,4.7
Gort,IE,53.07,-8.82,42.8,42.8,87,75,4.7
Goure,NE,13.98,10.27,75.57,75.57,16,8,13.76
Goya,AR,-29.14,-59.27,60.27,60.27,77,0,9.95
Grafton,AU,-29.69,152.93,89.6,83.25,49,20,6.93
Grand Gaube,MU,-20.01,57.66,84.2,83.64,74,75,12.75
Grand-Santi,GF,4.27,-54.38,73.68,73.68,92,64,2.57
Grants,US,35.15,-107.85,32,32,43,1,5.82
Great Falls,US,47.5,-111.29,33.01,32,96,90,3.36
Great Yarmouth,GB,52.61,1.73,43,40.19,75,20,10.29
Griffith,AU,-34.29,146.06,71.6,70.86,49,40,13.87
Grindavik,IS,63.84,-22.43,39.2,38.53,100,90,18.34
Guadalupe Y Calvo,MX,26.09,-106.96,39.39,39.39,61,0,1.57
Guangzhou,CN,23.13,113.26,73.4,69.78,60,40,2.24
Guaraniacu,BR,-25.1,-52.88,63.15,63.15,88,56,1.57
Guayaramerin,BO,-10.82,-65.36,75.3,75.3,95,24,2.01
Guerrero Negro,MX,27.97,-114.04,53.43,53.43,100,12,7.49
Guiratinga,BR,-16.35,-53.76,79.98,79.98,61,12,12.19
Gulbene,LV,57.18,26.75,29.04,29.04,82,32,10.96
Gunjur,GM,13.18,-16.76,64.4,64.4,88,0,5.82
Guymon,US,36.68,-101.48,48.2,45.91,81,1,4.7
Gwadar,PK,25.12,62.33,79.17,79.17,70,0,4.59
Gwanda,ZW,-20.94,29,67.38,67.38,74,0,4.47
Gweta,BW,-20.21,25.26,72.96,72.96,57,0,9.95
Gympie,AU,-26.2,152.66,84.99,82.02,81,48,1.01
Hailar,CN,49.2,119.7,24.81,24.81,20,0,21.03
Hailey,US,43.52,-114.32,25,25,89,12,4
Haimen,CN,31.87,121.18,68,64.62,54,0,7.61
Haines Junction,CA,60.75,-137.51,21.48,21.48,84,36,2.01
Half Moon Bay,US,37.46,-122.43,55.99,53.38,54,1,3.36
Halifax,CA,44.65,-63.58,32,31.37,90,40,3.36
Hambantota,LK,6.12,81.12,93.2,93.2,49,20,12.75
Hami,CN,42.84,93.51,61.08,61.08,45,36,4.47
Hamilton,CA,43.26,-79.87,34,31.64,74,75,16.11
Hammerfest,NO,70.66,23.68,32,29.66,92,75,18.34
Hanmer Springs,NZ,-42.52,172.83,67.38,67.38,61,8,10.51
Haradok,BY,55.46,29.99,32,32,65,0,6.71
Harare,ZW,-17.83,31.05,61.62,61.62,87,20,4.03
Harper,US,30.3,-99.24,64.99,61.9,93,90,3.36
Hasaki,JP,35.73,140.83,66,59.54,62,75,11.41
Hassleholm,SE,56.16,13.77,37.4,37.02,93,75,4.7
Havelock,US,34.88,-76.9,61,57.22,76,1,5.82
Havoysund,NO,71,24.66,28.4,27.77,92,75,18.34
Havre-Saint-Pierre,CA,50.23,-63.6,-4.01,-4.01,53,20,2.24
Hay River,CA,60.82,-115.79,41,41,60,40,8.05
Hecun,CN,29.94,119.31,60.63,60.63,75,48,3.58
Hede,SE,60.45,15.49,34,32.38,80,48,8.05
Helena,US,46.59,-112.04,35.6,33.48,80,90,4.7
Henderson,US,36.04,-114.98,60.8,55.45,34,75,2.46
Hengshui,CN,37.73,115.7,70.8,70.8,37,0,3.47
Henties Bay,NA,-22.12,14.28,60.01,60.01,93,88,1.01
Herat,AF,34.35,62.22,64.4,64.4,52,75,3.36
Hermanus,ZA,-34.42,19.24,64.99,63.66,96,92,5.59
Hermiston,US,45.84,-119.29,46,42.26,75,1,5.82
Heyang,CN,26.1,107.47,58.11,58.11,73,80,3.36
Hibbing,US,47.43,-92.94,21,16.74,85,1,2.68
High Prairie,CA,55.43,-116.48,35.7,35.7,80,68,6.04
High Rock,BS,26.63,-78.28,74.13,74.13,100,80,13.98
Hilo,US,19.71,-155.08,73.99,67.44,77,75,4.7
Hilton Head Island,US,32.16,-80.75,62.6,58.62,100,1,4.7
Himatnagar,IN,23.6,72.96,95,95,20,0,8.05
Hirara,JP,24.8,125.28,73.4,71.55,94,75,17.22
Hithadhoo,MV,-0.6,73.08,84.3,84.3,100,56,8.05
Hobart,AU,-42.88,147.33,53.6,50.07,46,20,26.4
Hobyo,SO,5.35,48.53,82.95,82.95,74,44,8.05
Hofn,IS,64.25,-15.21,34.8,34.8,100,56,4.47
Hokitika,NZ,-42.72,170.96,64.86,64.86,99,92,17.22
Homer,US,59.64,-151.54,42.8,37.09,70,1,3.36
Honiara,SB,-9.43,159.96,79.35,79.35,89,64,2.91
Hopewell,US,37.3,-77.29,59,57.31,47,1,7.38
Houston,US,29.76,-95.37,70,67.87,100,90,5.82
Hovd,NO,63.83,10.7,39,32.77,92,75,10.29
Hualmay,PE,-11.1,-77.61,66.03,66.03,89,44,3.02
Huangchuan,CN,24.57,102.46,77,74.82,16,0,22.37
Huanuco,PE,-9.93,-76.24,48.48,48.48,94,92,1.12
Huanuni,BO,-18.29,-66.83,42.18,42.18,97,92,1.9
Huarmey,PE,-10.07,-78.15,63.6,63.6,90,24,2.68
Huayucachi,PE,-12.13,-75.23,41.46,41.46,93,92,1.12
Humaita,AR,-24.93,-65.37,66.2,63.88,93,40,2.24
Hurricane,US,37.18,-113.29,52,45.01,91,1,3.36
Husavik,CA,50.56,-96.99,17.01,16.07,66,0,6.6
Hyeres,FR,43.12,6.14,55.4,49.01,81,0,4.7
Igrim,RU,63.19,64.42,37.23,37.23,75,12,7.16
Ikalamavony,MG,-21.17,46.6,71.61,71.61,71,8,3.36
Ilulissat,GL,69.22,-51.1,28.4,28.4,74,80,4.7
Imbituba,BR,-28.24,-48.67,73.4,73.4,88,0,6.93
Indian Head,CA,50.53,-103.67,19,17.87,73,44,7.94
Inhambane,MZ,-23.87,35.38,77.37,77.37,95,32,7.05
Innisfail,CA,52.02,-113.95,32,30.81,93,90,12.75
Inta,RU,66.04,60.13,36.33,36.33,83,76,6.38
Ionia,US,42.99,-85.07,34,31.62,81,75,9.17
Ios,GR,36.73,25.28,57.99,57.13,50,0,14.99
Iqaluit,CA,63.75,-68.52,3.2,3.09,77,90,20.8
Iquique,CL,-20.22,-70.14,66.2,66.2,72,0,4.7
Iquitos,PE,-3.75,-73.25,76.92,76.92,92,32,2.68
Iracoubo,GF,5.48,-53.21,77.01,77.01,77,88,5.14
Iralaya,HN,15,-83.23,74.04,74.04,97,8,5.59
Iranshahr,IR,27.21,60.69,69.8,69.8,60,0,4.7
Isabela,PH,10.2,122.99,89.79,89.79,44,8,5.48
Isangel,VU,-19.55,169.27,82.4,82.4,74,75,11.41
Isiro,CD,2.77,27.62,73.5,73.5,91,80,1.57
Isla Vista,US,34.41,-119.86,55.4,49.41,87,1,11.18
Itarema,BR,-2.92,-39.92,76.29,76.29,97,92,1.9
Itoman,JP,26.12,127.67,71.6,71.38,68,75,19.46
Ixtapa,MX,20.71,-105.21,72,70.88,88,5,1.9
Jacareacanga,BR,-6.22,-57.76,76.38,76.38,92,88,2.35
Jacqueville,CI,5.21,-4.42,75.2,75.2,88,40,6.93
Jalu,LY,29.03,21.55,53.88,53.88,49,0,11.63
Jambi,ID,-1.6,103.62,85.65,85.65,82,56,5.93
Jamestown,AU,-33.21,138.6,60.18,60.18,68,80,13.42
Jardim,BR,-21.48,-56.15,69.81,69.81,84,0,2.57
Jaromerice Nad Rokytnou,CZ,49.09,15.89,48,43.34,86,20,5.82
Jeremie,HT,18.65,-74.12,72.33,72.33,100,32,0.34
Jeremoabo,BR,-10.08,-38.34,70.26,70.26,99,92,2.91
Jiayuguan,CN,39.77,98.29,41.01,41.01,75,0,3.69
Jieshi,CN,22.82,115.83,71.25,71.25,92,92,9.95
Jinka,ET,5.79,36.57,78.45,78.45,38,0,2.01
Jinxiang,CN,35.07,116.31,70.98,70.98,42,0,6.04
Jishou,CN,28.26,109.7,60.54,60.54,94,0,3.69
Jumla,NP,29.28,82.18,40.11,40.11,83,76,1.68
Juneau,US,58.3,-134.42,37.4,34.34,86,20,1.9
Jutai,BR,-1.71,-47.89,74.58,74.58,97,64,2.46
Kabansk,RU,52.06,106.65,35.6,35.6,74,75,2.24
Kachug,RU,53.96,105.89,23.82,23.82,71,88,4.03
Kadoma,ZW,-18.34,29.91,66.93,66.93,75,0,6.38
Kaduna,NG,10.52,7.44,67.38,67.38,72,44,0.89
Kaduy,RU,59.2,37.15,30.2,30.2,86,40,4.47
Kaeo,NZ,-35.1,173.78,64.99,64.99,83,92,11.52
Kahului,US,20.89,-156.47,73.4,68.92,60,20,12.75
Kailua,US,21.39,-157.74,77,74.8,75,20,14.99
Kaitangata,NZ,-46.28,169.85,71.16,71.16,66,88,11.18
Kalabo,ZM,-15,22.67,76.02,76.02,58,36,5.7
Kalagarh,IN,29.5,78.75,77.55,77.55,74,92,4.03
Kalengwa,ZM,-13.47,25,67.56,67.56,94,8,4.59
Kalmunai,LK,7.42,81.82,89.88,89.88,61,0,6.71
Kamenka,RU,53.19,44.05,35.01,35.01,75,80,10.18
Kananga,CD,-5.9,22.41,71.16,71.16,95,80,3.13
Kaniama,CD,-7.57,24.18,69.18,69.18,91,48,3.13
Kansanshi,ZM,-12.1,26.43,65.76,65.76,97,64,7.72
Kaohsiung,TW,22.62,120.31,84.2,81.9,54,75,8.05
Kapaa,US,22.08,-159.32,73.4,71.47,78,90,13.87
Kapitanivka,UA,48.91,31.71,39.21,39.21,78,8,3.02
Kapustin Yar,RU,48.58,45.77,38.76,38.76,91,8,12.64
Karanpura,IN,29.1,75.09,74.13,74.13,66,32,8.39
Karaton,ID,-6.34,106.1,82,80.08,78,40,9.17
Kargasok,RU,59.06,80.87,33,33,85,48,3.47
Karoi,ZW,-16.82,29.68,71.07,71.07,72,0,7.72
Karratha,AU,-20.74,116.85,76.29,76.29,95,100,26.06
Kashirskoye,RU,51.42,39.61,37.4,37.4,74,0,13.42
Kaspiyskiy,RU,45.39,47.37,41.28,41.28,85,0,13.09
Katangli,RU,51.71,143.23,27.42,27.42,92,88,10.74
Kathmandu,NP,27.71,85.32,75.2,75.2,44,20,3.36
Katima Mulilo,NA,-17.5,24.28,74.85,74.85,52,0,5.03
Katobu,ID,-4.94,122.53,88.53,88.53,77,24,3.58
Katsina,NG,12.99,7.6,72.33,72.33,21,12,11.41
Katsuura,JP,33.93,134.5,54,53.19,58,75,3.36
Kavaratti,IN,10.57,72.64,83.58,83.58,100,0,3.91
Kavieng,PG,-2.57,150.8,84.48,84.48,100,68,9.4
Kawambwa,ZM,-9.8,29.07,68.28,68.28,91,76,3.47
Kayerkan,RU,69.35,87.76,24.36,24.36,93,92,23.04
Kazachinskoye,RU,57.69,93.28,31.83,31.83,87,88,3.47
Kedougou,SN,12.56,-12.19,84.2,84.2,48,0,4.7
Kedrovyy,RU,56.17,91.82,33.8,33.8,64,40,6.71
Kemin,KG,42.79,75.7,37.05,37.05,83,0,2.01
Kemise,ET,10.72,39.87,69.09,69.09,35,8,2.68
Kenai,US,60.55,-151.26,35.6,34.47,85,1,6.71
Kencong,ID,-7.78,112.24,80.25,80.25,88,48,5.14
Keningau,MY,5.33,116.16,87.8,87.13,66,75,11.41
Kerema,PG,-7.96,145.78,81.15,81.15,78,88,2.68
Kerepehi,NZ,-37.3,175.54,72,69.22,77,0,4
Ketchikan,US,55.34,-131.65,46.4,44.65,75,1,5.82
Key West,US,47.93,-96.78,19.4,17.4,85,1,9.17
Khairpur,PK,27.53,68.76,80.6,80.6,51,40,4.7
Khandyga,RU,62.65,135.58,16.53,16.53,49,0,4.7
Khani,GE,41.96,42.96,42.8,42.8,81,75,6.93
Kharakvasla,IN,18.43,73.77,95.37,95.37,26,0,6.38
Kharan,PK,28.58,65.42,65.49,65.49,97,0,2.57
Kharp,RU,66.82,65.8,23.82,23.82,95,56,9.73
Khash,IR,28.22,61.21,61.26,61.26,97,0,4.14
Khatanga,RU,71.98,102.47,14.55,14.55,88,68,11.97
Khetia,IN,21.67,74.59,97.71,97.71,26,0,3.69
Khor,RU,47.88,134.96,39.48,39.48,54,8,3.69
Khorixas,NA,-20.37,14.96,62.7,62.7,70,76,3.58
Khorramshahr,IR,30.43,48.18,73.4,73.4,73,90,20.8
Khromtau,KZ,50.26,58.44,45.51,45.51,87,88,20.8
Kiama,AU,-34.67,150.86,79,76.8,60,75,21.92
Kidal,ML,18.44,1.41,70.35,70.35,24,80,3.91
Kieta,PG,-6.22,155.63,78.36,78.36,100,76,2.91
Kifri,IQ,34.69,44.96,53.88,53.88,100,88,6.71
Kihei,US,20.76,-156.45,73.4,69.06,60,20,12.75
Kimbe,PG,-5.56,150.15,78,78,100,92,1.68
Kirakira,SB,-10.46,161.92,83.31,83.31,100,76,7.94
Kirkconnel,GB,55.39,-4,41,37.94,80,0,6.93
Kiruna,SE,67.86,20.23,10.4,10.4,92,0,6.04
Kitakami,JP,39.29,141.1,50,50,43,75,10.29
Kiunga,PG,-6.12,141.3,88.98,88.98,63,44,2.91
Kjollefjord,NO,70.95,27.35,30.2,28.49,73,20,8.05
Kjopsvik,NO,68.1,16.37,33.01,29.34,92,90,12.75
Klaksvik,FO,62.23,-6.59,39.2,39.2,80,0,5.82
Kloulklubed,PW,7.04,134.26,86,86,62,75,9.17
Klyuchi,RU,52.25,79.17,36.06,36.06,76,8,4.36
Knysna,ZA,-34.04,23.05,66.2,66.2,88,90,6.93
Koboko,UG,3.41,30.96,70.44,70.44,95,0,1.9
Kochki,RU,54.33,80.49,32.1,32.1,100,76,4.59
Kochubey,RU,44.39,46.54,40.65,40.65,100,0,11.63
Kodiak,US,39.95,-94.76,48,46.42,93,90,9.17
Kodinsk,RU,58.6,99.18,24.63,24.63,42,44,4.36
Koindu,LR,8.2,-10.37,71.25,71.25,83,56,3.02
Kokopo,PG,-4.34,152.27,81.06,81.06,100,76,7.94
Komsomolskiy,RU,67.55,63.78,31.65,31.65,97,44,15.77
Kontagora,NG,10.4,5.47,73.14,73.14,73,32,4.36
Koson,UZ,39.04,65.59,69.8,69.8,37,0,4.7
Kostomuksha,RU,64.59,30.6,31.56,31.56,86,48,6.49
Kotido,UG,3.01,34.12,77.64,77.64,50,0,6.93
Koygorodok,RU,60.44,51.01,31.92,31.92,72,24,6.71
Krasnogvardeyskoye,RU,45.84,41.51,37.77,37.77,79,0,9.17
Krasnyy Chikoy,RU,50.36,108.75,34.8,34.8,44,64,3.02
Kroya,ID,-6.5,108.06,83.76,83.76,90,44,3.36
Kruisfontein,ZA,-34,24.73,64.95,64.95,94,100,11.97
Kuching,MY,1.56,110.34,91.4,89.65,63,75,9.17
Kuito,AO,-12.38,16.94,65.13,65.13,79,8,8.16
Kukushtan,RU,57.65,56.5,37.4,37.4,69,0,11.18
Kulhudhuffushi,MV,6.62,73.07,84.66,84.66,100,0,9.4
Kulunda,RU,52.57,78.94,34.71,34.71,81,20,4.36
Kumphawapi,TH,17.11,103.01,91.4,91.4,52,40,5.82
Kundla,IN,21.34,71.31,99.33,99.33,17,0,12.64
Kungurtug,RU,50.6,97.53,33.09,33.09,62,88,8.39
Kununurra,AU,-15.77,128.74,100.4,100.4,35,40,11.41
Kupang,ID,-10.16,123.6,89.6,89.6,59,40,11.41
Kuragino,RU,53.89,92.68,38.31,38.31,69,32,10.63
Kurchum,KZ,48.57,83.65,32.64,32.64,100,64,3.47
Kurilsk,RU,45.23,147.88,33,33,88,64,16.55
Kushima,JP,31.5,131.29,57.2,52.18,47,75,5.82
Kutum,SD,14.2,24.66,68.55,68.55,23,0,14.2
Kuvshinovo,RU,57.03,34.18,27.87,27.87,79,0,13.09
Kyakhta,RU,50.35,106.45,43.8,43.8,47,0,4.03
Kyzyl-Suu,KG,42.34,78,36.87,36.87,100,8,1.57
La Asuncion,EC,-1.64,-78.74,47.58,47.58,96,92,1.57
La Libertad,PE,-16.38,-71.56,25.98,25.98,81,0,2.68
La Paz,MX,24.15,-110.32,59,59,54,5,2.46
La Primavera,AR,-32.92,-68.67,64.4,64.4,39,20,5.82
La Rinconada,PE,-14.63,-69.45,40.11,40.11,98,92,1.12
La Ronge,CA,55.1,-105.3,12.2,12.2,85,5,2.46
Labuan,BN,5.28,115.24,89.6,88.63,62,75,8.05
Labuhan,ID,-2.54,115.51,88.35,88.35,65,56,3.02
Ladovskaya Balka,RU,45.63,41.4,37.77,37.77,79,0,9.17
Lae,PG,-6.72,146.98,89.6,89.6,62,40,23.04
Lagoa,PT,37.14,-8.45,57.2,55.54,67,0,6.93
Lagos,NG,6.46,3.39,78.8,78.8,94,40,10.51
Laguna,MX,27.52,-110.01,57.75,57.75,63,0,2.13
Lakatoro,VU,-16.11,167.42,78.99,78.99,98,88,11.52
Lakes Entrance,AU,-37.88,147.99,66.99,64.92,48,80,20.47
Lalibela,ET,12.04,39.05,62.88,62.88,61,56,2.68
Lamballe,FR,48.47,-2.52,46.4,42.75,93,0,5.82
Lamu,ID,0.57,122.3,81.78,81.78,83,56,2.01
Lao Cai,VN,22.48,103.95,73.05,73.05,76,20,1.34
Lasa,CY,34.92,32.53,57.2,55.18,44,20,8.05
Lashio,MM,22.93,97.75,86.91,86.91,33,0,2.57
Lata,IN,30.78,78.62,49.11,49.11,85,88,1.9
Launceston,AU,-41.43,147.14,54,52.99,66,40,21.92
Laureles,MX,20.73,-103.39,64.4,64.4,45,5,4.7
Lavrentiya,RU,65.58,-170.99,32.91,32.91,95,88,17
Lazaro Cardenas,MX,28.39,-105.62,62.01,60.55,23,0,3
Lebu,ET,8.96,38.73,69.8,69.8,30,0,9.17
Leh,IN,34.16,77.58,3.84,3.84,85,8,1.9
Leiva,CO,1.94,-77.3,67.11,67.11,98,92,1.45
Leningradskiy,RU,69.38,178.42,9.42,9.42,83,92,13.42
Lensk,RU,60.71,114.91,13.74,13.74,55,24,5.03
Lethem,GY,3.38,-59.8,81.06,81.06,61,0,14.09
Letka,BA,43.74,17.27,44.6,44.22,65,0,3.36
Letnyaya Stavka,RU,45.43,43.44,38.4,38.4,81,0,10.74
Levokumskoye,RU,44.82,44.66,39.21,39.21,77,0,8.95
Liberal,US,37.04,-100.92,45,44.56,93,20,5.82
Libertador General San Martin,AR,-23.81,-64.79,62.07,62.07,90,88,1.45
Liku,ID,-0.73,119.89,80.79,80.79,99,12,1.57
Lima,PE,-12.06,-77.04,69.01,69.01,99,24,1.45
Lincoln,GB,53.23,-0.54,41,39.54,58,0,11.41
Linhares,BR,-19.38,-40.06,75.3,75.3,83,92,6.71
Lipari,IT,38.47,14.95,57.99,56.68,87,5,4.7
Liverpool,GB,53.41,-2.98,45,41.56,70,0,12.75
Livramento,BR,-3.03,-60.18,78.8,78.8,88,75,2.24
Lixourion,GR,38.2,20.43,60.01,54.16,100,20,4.7
Lodja,CD,-3.52,23.6,69.27,69.27,98,80,3.02
Lofthus,NO,59.95,10.8,37.99,34.99,69,0,17.22
Loiza,PR,18.43,-65.88,75.99,73.36,83,40,4.7
Lompoc,US,34.64,-120.46,52,48.24,87,1,5.37
Longyearbyen,NO,78.22,15.63,14,14,66,75,20.8
Lorengau,PG,-2.02,147.27,83.4,83.4,97,36,9.51
Lorvao,PT,40.26,-8.32,62.01,55.42,87,0,2.24
Los Llanos De Aridane,ES,28.66,-17.92,59,55.99,77,90,3.36
Lourdes,SV,13.73,-89.37,71.6,69.57,68,0,4.7
Lozuvatka,UA,49.68,35.29,37.95,37.95,78,0,4.47
Luancheng,CN,37.88,114.65,75.2,75.2,4,0,4.47
Luanda,AO,-8.83,13.24,77,77,83,75,5.82
Luau,CD,-10.7,22.23,65.67,65.67,94,8,3.02
Lubliniec,PL,50.67,18.68,46,43.56,86,40,8.05
Lucea,JM,18.44,-78.17,77,75.4,88,20,4.7
Luderitz,NA,-26.65,15.16,57.93,57.93,92,12,14.65
Luena,AO,-11.78,19.91,66.75,66.75,85,24,3.69
Lufilufi,WS,-13.87,-171.6,82.4,82.17,88,90,4.7
Luganville,VU,-15.51,167.18,79.98,79.98,100,92,16.11
Lujiang,CN,31.26,117.28,68,68,34,0,8.95
Lukoyanov,RU,55.03,44.48,33.09,33.09,93,76,7.94
Luoyang,CN,34.66,112.42,70.8,70.8,32,0,6.38
Lusambo,CD,-4.97,23.44,70.35,70.35,99,80,2.68
Lyaskelya,RU,61.77,31.02,31.29,31.29,88,32,9.4
Lydenburg,ZA,-25.1,30.46,73,73,80,0,2.57
Mabaruma,GY,8.2,-59.78,78.27,78.27,81,88,7.72
Macapa,BR,0.05,-51.07,77,77,100,90,3.36
Macau,BR,-5.11,-36.64,70.98,70.98,95,24,2.91
Maceio,BR,-9.67,-35.74,75.2,75.2,88,40,3.36
Mackay,CA,53.65,-115.58,35.6,35.6,93,90,3.36
Mackenzie,CA,55.34,-123.09,37.4,37.4,96,90,4.7
Madang,PG,-5.21,145.81,79.71,79.71,93,88,4.03
Madaoua,NE,14.07,5.96,73.32,73.32,24,8,11.52
Madison,US,43.07,-89.38,33.01,30.11,70,1,13.87
Mae Sai,MM,20.44,99.89,93.99,89.85,52,8,4.7
